Disease,Top_Class
Crohn's disease-associated small bowel adenocarcinoma,Neoplasms
genomic instability,others
genomic disease,others
Mendelian genetic disease,others
sporadic small bowel adenocarcinoma,Neoplasms
sporadic genetic disease,others
early spontaneous abortion,"Pregnancy, childbirth or the puerperium"
reproductive system disease,Supplementary Chapter Traditional Medicine Conditions
neuropsychiatric disease,others
Somatic Mutation Disorder of Brain Development,"Mental, behavioural or neurodevelopmental disorders"
Spontaneous Genetic Disorder,others
Impaired Cognitive Task Performance,"Symptoms, signs or clinical findings, not elsewhere classified"
Genetic Instability,others
Myeloid Malignancy,Neoplasms
