Excel_Row,Disease,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Description
45,X-linked dilated cardiomyopathy,BC43.00 Familial-genetic dilated cardiomyopathy,BC43.0 Dilated cardiomyopathy,BC43 Cardiomyopathy,Diseases of the myocardium or cardiac chambers,11 Diseases of the circulatory system,,,,X-linked dilated cardiomyopathy (XLDCM) is a clinical phenotype of dystrophinopathy characterized by preferential myocardial involvement without overt clinical signs of skeletal myopathy.
46,ageing,DA42.73 Chronic atrophic gastritis of unknown aetiology,DA42.7 Gastritis of unknown aetiology with specific endoscopic or pathological features,DA42 Gastritis,Diseases of stomach,Diseases of the stomach or the duodenum,13 Diseases of the digestive system,,,"Ageing is the process of becoming older, associated with a decline in physiological functions."
47,aging,DA42.73 Chronic atrophic gastritis of unknown aetiology,DA42.7 Gastritis of unknown aetiology with specific endoscopic or pathological features,DA42 Gastritis,Diseases of stomach,Diseases of the stomach or the duodenum,13 Diseases of the digestive system,,,"Aging is the process of becoming older, associated with a decline in biological functions and increased susceptibility to disease."
48,Barrett's esophagus,"DA23.Z Columnar metaplastic epithelium of the oesophagus, unspecified",DA23 Columnar metaplastic epithelium of the oesophagus,Diseases of oesophagus,13 Diseases of the digestive system,,,,,Barrett's esophagus (BE) is a condition where the esophageal lining changes from stratified squamous epithelium to metaplastic columnar epithelium.
49,biliary atresia,LB20.21 Biliary atresia,LB20.2 Structural developmental anomalies of bile ducts,"LB20 Structural developmental anomalies of gallbladder, bile ducts or liver","Structural developmental anomalies of the liver, biliary tract, pancreas or spleen",Structural developmental anomalies primarily affecting one body system,20 Developmental anomalies,,,Biliary atresia is a rare disease of the liver and bile ducts that occurs in infants.
50,Coeliac disease,DA95 Coeliac disease,Diseases of small intestine,13 Diseases of the digestive system,,,,,,Coeliac disease (CeD) is an immune-mediated disease triggered by an abnormal T-cell response to dietary gluten and a predisposing condition of small bowel adenocarcinoma.
51,colitis,MD81.4 Other and unspecified abdominal pain,MD81 Abdominal or pelvic pain,Symptoms or signs involving the digestive system or abdomen,"Symptoms, signs or clinical findings of the digestive system or abdomen","21 Symptoms, signs or clinical findings, not elsewhere classified",,,,Inflammation of the colon.
52,Complex diseases,"DA0Z Diseases or disorders of orofacial complex, unspecified",Diseases or disorders of orofacial complex,13 Diseases of the digestive system,,,,,,Complex diseases are disorders influenced by multiple genetic and environmental factors.
53,Crohn's disease,"DD70.Z Crohn disease, unspecified site",DD70 Crohn disease,Inflammatory bowel diseases,13 Diseases of the digestive system,,,,,Crohn's disease is a type of inflammatory bowel disease (IBD) that causes inflammation of the digestive tract.
54,Inflammatory Bowel Disease,"DD7Z Inflammatory bowel diseases, unspecified",Inflammatory bowel diseases,13 Diseases of the digestive system,,,,,,"Inflammatory Bowel Disease (IBD) is a group of chronic inflammatory conditions of the intestine, including Crohn's disease and ulcerative colitis."
55,Liver cirrhosis,DB93.1 Hepatic cirrhosis,DB93 Hepatic fibrosis or cirrhosis,Diseases of liver,13 Diseases of the digestive system,,,,,Liver cirrhosis is a chronic liver disease characterized by fibrosis and regenerative nodules.
56,ulcerative colitis,"DD71.Z Ulcerative colitis, unspecified",DD71 Ulcerative colitis,Inflammatory bowel diseases,13 Diseases of the digestive system,,,,,Ulcerative colitis is an inflammatory bowel disease that causes inflammation and ulcers in the digestive tract.
57,Acute kidney injury,"GB60.Z Acute kidney failure, stage unspecified",GB60 Acute kidney failure,Kidney failure,Diseases of the urinary system,16 Diseases of the genitourinary system,,,,Acute kidney injury (AKI) is a sudden episode of kidney failure or kidney damage that happens within a few hours or a few days.
58,Azoospermia,GB04.0 Azoospermia,GB04 Male infertility,Diseases of the male genital system,16 Diseases of the genitourinary system,,,,,"Azoospermia is a condition characterized by the absence of sperm in the semen, often associated with male infertility."
59,cryptorchidism,"LB52.Z Cryptorchidism, unspecified",LB52 Cryptorchidism,Structural developmental anomalies of the male genital system,Structural developmental anomalies primarily affecting one body system,20 Developmental anomalies,,,,Cryptorchidism is a condition in which one or both testes fail to descend into the scrotum.
60,hypospermatogenesis,GB04.0 Azoospermia,GB04 Male infertility,Diseases of the male genital system,16 Diseases of the genitourinary system,,,,,Hypospermatogenesis is a condition characterized by reduced sperm production in the testes.
61,infertility,GA31.Z Female infertility without specification whether primary or secondary,GA31 Female infertility,Diseases of the female genital system,16 Diseases of the genitourinary system,,,,,Infertility is a disease characterized by the inability to achieve pregnancy after regular unprotected sexual intercourse.
62,Male infertility,"GB04.Z Male infertility, unspecified",GB04 Male infertility,Diseases of the male genital system,16 Diseases of the genitourinary system,,,,,"Male infertility refers to the inability of a male to achieve pregnancy in a fertile female partner, often due to defects in sperm production or function."
63,Meckel syndrome,LD2F.13 Meckel-Gruber syndrome,"LD2F.1 Syndromes with multiple structural anomalies, not of environmental origin","LD2F Syndromes with multiple structural anomalies, without predominant body system involvement",Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,Meckel syndrome is a severe neurodevelopmental disorder associated with biallelic CC2D2A variants.
64,Meckel-Gruber syndrome,LD2F.13 Meckel-Gruber syndrome,"LD2F.1 Syndromes with multiple structural anomalies, not of environmental origin","LD2F Syndromes with multiple structural anomalies, without predominant body system involvement",Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,Meckel-Gruber syndrome is a rare ciliopathy characterized by occipital encephalocele and cystic kidney disease.
65,Asthma,"CA23.32 Unspecified asthma, uncomplicated",CA23.3 Unspecified asthma,CA23 Asthma,Certain lower respiratory tract diseases,12 Diseases of the respiratory system,,,,Asthma is a chronic respiratory disease characterized by airway inflammation and hyperresponsiveness.
66,ataxia telangiectasia,4A01.31 DNA repair defects other than combined T-cell or B-cell immunodeficiencies,4A01.3 Other well-defined immunodeficiency syndromes due to defects in adaptive immunity,4A01 Primary immunodeficiencies due to disorders of adaptive immunity,Primary immunodeficiencies,04 Diseases of the immune system,,,,Ataxia telangiectasia is a rare neurodegenerative disorder characterized by progressive cerebellar ataxia.
67,autoimmune diseases,"4A4Z Nonorgan specific systemic autoimmune disorders, unspecified",Nonorgan specific systemic autoimmune disorders,04 Diseases of the immune system,,,,,,Autoimmune diseases are conditions in which the immune system mistakenly attacks the body's own tissues.
68,autoimmune disorders,"4A4Z Nonorgan specific systemic autoimmune disorders, unspecified",Nonorgan specific systemic autoimmune disorders,04 Diseases of the immune system,,,,,,Autoimmune disorders are conditions where the immune system mistakenly attacks the body's own tissues.
69,Autoimmunity,"4A4Z Nonorgan specific systemic autoimmune disorders, unspecified",Nonorgan specific systemic autoimmune disorders,04 Diseases of the immune system,,,,,,Autoimmunity refers to diseases where the immune system mistakenly attacks the body's own tissues.
70,autoinflammatory disorders,"4A6Z Autoinflammatory disorders, unspecified",Autoinflammatory disorders,04 Diseases of the immune system,,,,,,Autoinflammatory disorders are a group of diseases characterized by episodes of unprovoked inflammation due to dysregulation of the innate immune system.
71,Chronic granulomatous disease,4A00.0Y Other specified functional neutrophil defects,4A00.0 Functional neutrophil defects,4A00 Primary immunodeficiencies due to disorders of innate immunity,Primary immunodeficiencies,04 Diseases of the immune system,,,,"Chronic granulomatous disease (CGD) is a genetic disorder characterized by defects in neutrophil function, specifically impaired NADPH oxidase activity."
72,cutaneous sarcoidosis,4B20.5 Cutaneous sarcoidosis,4B20 Sarcoidosis,Certain disorders involving the immune system,04 Diseases of the immune system,,,,,Cutaneous sarcoidosis is a form of sarcoidosis affecting the skin.
73,dermatomyositis,"4A41.0Z Dermatomyositis, unspecified",4A41.0 Dermatomyositis,4A41 Idiopathic inflammatory myopathy,Nonorgan specific systemic autoimmune disorders,04 Diseases of the immune system,,,,Dermatomyositis is a systemic autoimmune disease characterized by muscle weakness and skin rash.
74,Mendelian disease,4A00.2 Genetic susceptibility to particular pathogens,4A00 Primary immunodeficiencies due to disorders of innate immunity,Primary immunodeficiencies,04 Diseases of the immune system,,,,,"Mendelian diseases are genetic disorders caused by mutations in a single gene, following Mendelian patterns of inheritance."
75,neurological disease,4A62 Behçet disease,Autoinflammatory disorders,04 Diseases of the immune system,,,,,,"Neurological diseases are disorders that affect the brain, spinal cord, and nerves."
76,Primary immunodeficiency,"4A0Z Primary immunodeficiencies, unspecified",Primary immunodeficiencies,04 Diseases of the immune system,,,,,,Primary immunodeficiency refers to a group of disorders where part of the body's immune system is missing or does not function properly.
77,Rheumatoid arthritis,"FA20.Z Rheumatoid arthritis, serology unspecified",FA20 Rheumatoid arthritis,Inflammatory arthropathies,Arthropathies,15 Diseases of the musculoskeletal system or connective tissue,,,,Rheumatoid arthritis is an autoimmune disease characterized by chronic inflammation of the joints.
78,sarcoid myopathy,4B20.Y Other specified sarcoidosis,4B20 Sarcoidosis,Certain disorders involving the immune system,04 Diseases of the immune system,,,,,Sarcoid myopathy is a muscle disease associated with sarcoidosis.
79,sarcoidosis,"4B20.Z Sarcoidosis, unspecified",4B20 Sarcoidosis,Certain disorders involving the immune system,04 Diseases of the immune system,,,,,Sarcoidosis is a systemic inflammatory disease characterized by the formation of non-caseous granulomas.
80,systemic autoimmune disease,"4A4Z Nonorgan specific systemic autoimmune disorders, unspecified",Nonorgan specific systemic autoimmune disorders,04 Diseases of the immune system,,,,,,Systemic autoimmune diseases are conditions where the immune system mistakenly attacks the body's own tissues.
81,Systemic lupus erythematosus,"4A40.0Z Systemic lupus erythematosus, unspecified",4A40.0 Systemic lupus erythematosus,4A40 Lupus erythematosus,Nonorgan specific systemic autoimmune disorders,04 Diseases of the immune system,,,,Systemic lupus erythematosus is a chronic autoimmune disease that can affect various parts of the body.
82,X-linked agammaglobulinemia,4A01.00 Hereditary agammaglobulinaemia with profoundly reduced or absent B cells,4A01.0 Immunodeficiencies with predominantly antibody defects,4A01 Primary immunodeficiencies due to disorders of adaptive immunity,Primary immunodeficiencies,04 Diseases of the immune system,,,,X-linked agammaglobulinemia is an immunodeficiency disorder caused by mutations in the BTK gene.
83,disease,"FB3Z Disorders of muscles, unspecified",Disorders of muscles,Soft tissue disorders,15 Diseases of the musculoskeletal system or connective tissue,,,,,"Disease refers to pathological conditions, with 96 instances caused by retrotransposon insertions."
84,dysplasia,"FB80.Z Disorder of bone density and structure, unspecified",FB80 Certain specified disorders of bone density or structure,Osteopathies or chondropathies,15 Diseases of the musculoskeletal system or connective tissue,,,,,"Dysplasia is an abnormal growth or development of cells, often considered a pre-cancerous condition."
85,inflammation,"FA2Z Inflammatory arthropathies, unspecified",Inflammatory arthropathies,Arthropathies,15 Diseases of the musculoskeletal system or connective tissue,,,,,Inflammation is a biological response of the immune system to harmful stimuli.
86,Osteoarthritis,"FA0Z Osteoarthritis, unspecified",Osteoarthritis,Arthropathies,15 Diseases of the musculoskeletal system or connective tissue,,,,,A degenerative joint disease.
87,Alzheimer's disease,8A20 Alzheimer disease,Disorders with neurocognitive impairment as a major feature,08 Diseases of the nervous system,,,,,,Alzheimer's disease is a progressive neurodegenerative disorder.
88,Amyotrophic lateral sclerosis (ALS),8B60.0 Amyotrophic lateral sclerosis,8B60 Motor neuron disease,Motor neuron diseases or related disorders,08 Diseases of the nervous system,,,,,Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease affecting motor neurons.
89,ataxia,"MB45.0 Ataxia, unspecified",MB45 Lack of coordination,Symptoms or signs involving the nervous system,"Symptoms, signs or clinical findings of the nervous system","21 Symptoms, signs or clinical findings, not elsewhere classified",,,,"Ataxia is a neurological sign consisting of lack of voluntary coordination of muscle movements, often associated with cerebellar dysfunction."
90,Becker muscular dystrophy,8C70.0 Becker muscular dystrophy,8C70 Muscular dystrophy,Primary disorders of muscles,Diseases of neuromuscular junction or muscle,08 Diseases of the nervous system,,,,"Becker muscular dystrophy (BMD) is an inherited muscle-wasting disorder, similar to Duchenne muscular dystrophy but typically with a later onset and milder course, also caused by mutations in the dystrophin gene."
91,brain disorders,8E4Y Other specified disorders of the nervous system,Other disorders of the nervous system,08 Diseases of the nervous system,,,,,,"A category of diseases affecting the brain, where the expression level and copy number of L1 are significantly increased."
92,cerebral ischemia,"8B1Z Cerebral ischaemia, unspecified",Cerebral ischaemia,Cerebrovascular diseases,08 Diseases of the nervous system,,,,,Cerebral ischemia is a condition where there is insufficient blood flow to the brain to meet metabolic demand.
93,Charcot-Marie-Tooth disease,"8C21.Z Hereditary sensory or autonomic neuropathy, unspecified",8C21 Hereditary sensory or autonomic neuropathy,Hereditary neuropathy,"Disorders of nerve root, plexus or peripheral nerves",08 Diseases of the nervous system,,,,Charcot-Marie-Tooth disease is a human genetic disease associated with molecular rearrangements.
94,Duchenne muscular dystrophy,8C70.1 Duchenne muscular dystrophy,8C70 Muscular dystrophy,Primary disorders of muscles,Diseases of neuromuscular junction or muscle,08 Diseases of the nervous system,,,,Duchenne muscular dystrophy is a severe type of muscular dystrophy.
95,Dystrophinopathy,8C70.0 Becker muscular dystrophy,8C70 Muscular dystrophy,Primary disorders of muscles,Diseases of neuromuscular junction or muscle,08 Diseases of the nervous system,,,,"A group of muscle diseases caused by mutations in the dystrophin gene, including Duchenne and Becker muscular dystrophy and X-linked dilated cardiomyopathy."
96,epilepsy,"8A6Z Epilepsy or seizures, unspecified",Epilepsy or seizures,08 Diseases of the nervous system,,,,,,Epilepsy is a neurological disorder characterized by recurrent seizures.
97,Facioscapulohumeral muscular dystrophy,8C70.3 Facioscapulohumeral muscular dystrophy,8C70 Muscular dystrophy,Primary disorders of muscles,Diseases of neuromuscular junction or muscle,08 Diseases of the nervous system,,,,"Facioscapulohumeral muscular dystrophy is a genetic muscle disorder characterized by progressive weakness of facial, shoulder, and upper arm muscles."
98,frontotemporal degeneration,8A23 Frontotemporal lobar degeneration,Disorders with neurocognitive impairment as a major feature,08 Diseases of the nervous system,,,,,,Frontotemporal degeneration is a group of disorders caused by progressive nerve cell loss in the brain's frontal or temporal lobes.
99,Fukuyama congenital muscular dystrophy,8C70.6 Congenital muscular dystrophy,8C70 Muscular dystrophy,Primary disorders of muscles,Diseases of neuromuscular junction or muscle,08 Diseases of the nervous system,,,,Fukuyama congenital muscular dystrophy (FCMD) is a severe form of muscular dystrophy characterized by brain structural anomalies and ocular complications due to neuronal migration disorders.
100,Fukuyama muscular dystrophy,8C70.6 Congenital muscular dystrophy,8C70 Muscular dystrophy,Primary disorders of muscles,Diseases of neuromuscular junction or muscle,08 Diseases of the nervous system,,,,"Fukuyama muscular dystrophy (FCMD) is an autosomal recessive muscular dystrophy common in Japan, caused by a mutation in the fukutin gene."
101,Hemimegalencephaly,LA05.1 Megalencephaly,LA05 Cerebral structural developmental anomalies,Structural developmental anomalies of the nervous system,Structural developmental anomalies primarily affecting one body system,20 Developmental anomalies,,,,Hemimegalencephaly is a rare neurological condition characterized by the overgrowth of one hemisphere of the brain.
102,hereditary diseases,"8B22.CZ Hereditary cerebrovascular diseases, unspecified",8B22.C Hereditary cerebrovascular diseases,8B22 Certain specified cerebrovascular diseases,Cerebrovascular diseases,08 Diseases of the nervous system,,,,Many hereditary diseases are involved in pathogenesis affected by retrotransposition.
103,hereditary neuropathy with liability to pressure palsies,8C20.Y Other specified hereditary motor and sensory neuropathy,8C20 Hereditary motor and sensory neuropathy,Hereditary neuropathy,"Disorders of nerve root, plexus or peripheral nerves",08 Diseases of the nervous system,,,,Hereditary neuropathy with liability to pressure palsies (HNPP) is an inherited peripheral neuropathy caused by misalignment between the two elements of the CMT1A-REP binary repeat on chromosome 17p11.2-p12.
104,Hereditary Spastic Paraplegia,"8B44.0Z Hereditary spastic paraplegia, unspecified",8B44.0 Hereditary spastic paraplegia,8B44 Degenerative myelopathic disorders,Spinal cord disorders excluding trauma,08 Diseases of the nervous system,,,,Hereditary Spastic Paraplegia (HSP) is a group of inherited neurological disorders characterized by progressive lower limb spasticity and weakness.
